State,Year,Crime_Total_Offense,Crime_Murder_Slaughter,Crime_Forcible_Rape,Crime_Robbery,Crime_Aggrevated_Assault,Crime_Property,Crime_Burglary,Crime_Larcency,Crime_Motor_Vehicle_Theft,Eco_Civilian_non_institutional_population,Eco_Total_Civilian_labourforce,Eco_Percent_of_population_Civilian_labourforce,Eco_Total_Employment_Civilian_labourforce,Eco_Percent_of_population_Employment_Civilian_labourforce,Eco_Total_Unemployment_Civilian_labourforce,Eco_Rate_Unemployment_Civilian_labourforce,Eco_Per_capita_disposable_personal_income,Eco_Per_Capita_GDP,Arms_AnyOtherWeapons,Arms_Combinations,Arms_Derringers,Arms_DestructiveDevices,Arms_FlareGuns,Arms_Machineguns,Arms_Pistols,Arms_Receivers_Frames,Arms_Revolvers,Arms_Rifles,Arms_Shotguns,Arms_Silencers,Arms_TearGasLaunchers,Arms_UnknownTypes,Arms_Total_Weapons,RPPs_All_items,RPPs_Goods,RPPs_Services_Rents,RPPs_Services_Other,Marijuana_Use_PastYear, Marijuana_Use_PastMonth,Cocaine,Alcohol,Tobacco,Cigarette,Serious_Mental_Illness,Any_Mental_Illness,Serious_Suicide_Thoughts,Major_Depression,Economic_BigMacIndex,Economic_HappinessIndex,PF_Total_law_enforcement_employees,PF_Total_officers_Male,PF_Total_officers_Female,PF_Total_Officers,PF_Total_civilians_Male,PF_Total_civilians_Female,PF_Total_civilians,PF_Number_of_agencies,PF_estimated_population
ALABAMA,2014,328915,276,2005,4701,13745,154094,39715,104238,10141,3781708,2160842,57.1,2014290,53.3,146552,6.8,33860,38591,1,2,61,1,0,17,3579,7,1069,649,502,0,0,3,5891,87.1,96.2,63.8,93.3,366,206,48,1763,1243,1023,165,712,145,250,4.7,7,11455,7131,567,7698,1398,2359,3757,246,3398260
ALASKA,2014,45352,41,771,629,3243,20334,3150,15445,1739,539842,365383,67.7,340302,63,25081,6.9,50997,72354,0,2,4,0,0,4,361,5,117,143,76,0,0,2,714,106.3,101.3,144.4,96.7,103,63,9,307,163,124,20,94,22,34,4.7,7,1938,1145,113,1258,231,449,680,33,732371
ARIZONA,2014,457396,319,3378,6249,16970,215240,43562,154091,17587,5176387,3099884,59.9,2889380,55.8,210504,6.8,34518,40663,2,5,56,4,0,20,4260,11,1057,1400,786,0,0,9,7610,96,97.5,91.4,97.3,670,438,118,2782,1180,1002,203,920,210,362,4.7,7,22817,11335,1328,12663,4762,5392,10154,123,6731484
ARKANSAS,2014,212279,165,1763,2050,10265,99018,24790,68627,5601,2286193,1316506,57.6,1237248,54.1,79258,6,34625,38058,5,1,9,1,0,7,472,1,159,171,104,1,0,2,933,86.9,94.7,62.9,93.3,247,149,22,1012,842,679,115,441,101,161,4.7,7,9380,5407,510,5917,1476,1987,3463,290,2968654
CALIFORNIA,2014,2048093,1699,11527,48680,91803,947192,202670,592670,151852,29977049,18714706,62.4,17310937,57.7,1403769,7.5,45204,59915,10,29,278,3,2,121,15570,265,6710,7501,4350,8,0,43,34890,113.7,103.7,147.4,106.6,4170,2673,656,15834,5729,4769,1090,5241,1093,1819,4.7,7,118491,67124,10066,77190,15230,26071,41301,467,33283385
COLORADO,2014,287574,151,3039,3039,10325,135510,23472,99464,12574,4140599,2802528,67.7,2662404,64.3,140124,5,44502,55270,3,3,34,1,1,13,1919,0,541,550,321,2,0,1,3389,102,99.6,111.3,99.1,824,603,109,2640,1091,842,148,710,158,250,4.7,7,15009,9075,1403,10478,1480,3051,4531,215,4890971
CONNECTICUT,2014,146662,86,782,3159,4495,69070,11955,51005,6110,2866473,1887428,65.8,1762564,61.5,124864,6.6,55915,66152,0,2,14,8,0,11,646,435,288,280,142,3,0,1,1830,108.6,104.2,116.4,109.1,382,237,64,1791,626,503,97,454,92,167,4.7,7,10461,7811,823,8634,758,1069,1827,104,3596677
DELAWARE,2014,60376,54,386,1269,2867,27900,5768,20865,1267,736528,452187,61.4,426325,57.9,25862,5.7,40917,68097,0,1,8,0,0,0,522,0,187,120,111,0,0,0,949,101.1,99.1,101.8,103,99,59,14,434,217,181,28,136,27,49,4.7,7,3243,1952,242,2194,443,606,1049,56,934360
FLORIDA,2014,1466413,1149,8563,24914,72895,679446,143220,493647,42579,15941053,9567295,60,8966245,56.2,601050,6.3,38574,40577,4,7,205,14,3,17,11238,35,3761,2522,1762,1,1,22,19592,99.4,98.2,105,97,1794,1166,321,8747,3971,3404,576,2463,529,894,4.7,7,60714,30832,5222,36054,9061,15599,24660,294,15848743
GEORGIA,2014,700729,580,3048,12417,22052,331316,76428,228034,26854,7650228,4738946,61.9,4403433,57.6,335513,7.1,35480,46253,3,4,79,5,0,20,6984,4,1963,1266,898,4,0,11,11241,92,96.9,79,95.1,869,585,114,3891,2045,1653,306,1365,293,491,4.7,7,26853,16711,3170,19881,2283,4689,6972,413,7907103
HAWAII,2014,90274,26,445,1107,2102,43297,7778,31640,3879,1079790,665465,61.6,636495,58.9,28970,4.4,42474,52688,0,0,1,0,0,2,45,5,23,35,16,0,0,1,128,118.4,109.5,159,104.5,130,83,17,556,229,191,38,178,43,61,4.7,7,3776,2738,268,3006,196,574,770,4,1419561
IDAHO,2014,64100,32,609,204,2623,30316,6428,22227,1661,1225617,779986,63.6,742302,60.6,37684,4.8,34326,37640,0,1,8,0,0,10,385,7,105,200,113,1,0,4,834,93.6,98.2,79.6,97.2,132,74,12,605,314,261,59,244,53,86,4.7,7,4265,2554,171,2725,336,1204,1540,111,1633383
ILLINOIS,2014,582433,685,4159,15299,27520,267385,50008,199926,17451,10049370,6513861,64.8,6052151,60.2,461710,7.1,43195,57048,2,4,127,3,1,9,6394,144,2716,1121,1035,0,0,12,11568,99.3,99,99.5,99.4,1180,750,179,5846,2649,2307,363,1587,355,574,4.7,7,34425,20092,4266,24358,5443,4624,10067,284,7428735
INDIANA,2014,373651,330,2186,6897,14686,174776,36893,124022,13861,5092023,3224772,63.3,3032497,59.6,192275,6,37013,47582,1,0,59,1,0,14,3500,4,863,599,543,2,0,1,5587,90.8,96.9,75.6,93.6,632,375,63,2720,1572,1315,237,993,203,380,4.7,7,11926,8111,652,8763,1440,1723,3163,152,4656646
IOWA,2014,138609,60,1128,1045,6264,65056,14428,46477,4151,2419050,1701445,70.3,1629331,67.4,72114,4.2,40185,53094,1,2,19,0,0,5,730,1,186,249,268,0,0,0,1461,90.3,95.4,75.1,91.9,227,117,32,1419,686,570,107,392,94,158,4.7,7,7782,4623,380,5003,1097,1682,2779,221,2946179
KANSAS,2014,168985,91,1411,1362,7259,79431,15828,56697,6906,2193420,1492158,68,1424439,64.9,67719,4.5,42073,49449,2,0,22,0,0,1,1298,5,302,365,252,1,0,0,2248,90.9,95.9,75.6,93.8,231,135,31,1237,623,505,87,371,81,145,4.7,7,10249,6120,684,6804,1394,2051,3445,324,2615274
KENTUCKY,2014,207672,160,1440,3336,4404,99166,23244,69604,6318,3425801,2006359,58.6,1876841,54.8,129518,6.5,33754,40774,3,3,38,18,0,6,1777,4,544,452,305,1,0,14,3165,88.3,94.4,68,93.1,363,227,55,1518,1205,1021,168,663,143,224,4.7,7,9315,6618,483,7101,908,1306,2214,325,3684712
LOUISIANA,2014,345582,477,1375,5695,16387,160824,38337,112596,9891,3545391,2151282,60.7,2014189,56.8,137093,6.4,38652,50318,0,1,45,2,0,12,4306,2,1214,938,688,0,1,4,7213,90.9,96.5,77.7,93.3,382,211,60,1815,1087,913,154,678,144,210,4.7,7,13567,7942,2095,10037,1217,2313,3530,113,2963395
MAINE,2014,54542,21,485,304,890,26421,5030,20592,799,1088703,696313,64,657188,60.4,39125,5.6,37656,40148,0,2,4,2,0,1,132,0,51,79,44,0,0,1,316,98,98.4,92.7,100.5,208,136,16,668,292,248,56,217,45,87,4.7,7,2815,2133,152,2285,210,320,530,135,1329570
MARYLAND,2014,326379,365,1619,9544,15133,149859,28012,108745,13102,4668587,3123048,66.9,2941562,63,181486,5.8,47459,56860,5,13,55,0,1,17,3058,28,1374,1746,1405,0,1,3,7706,110.2,103.5,126.5,107,601,388,65,2826,1059,888,147,735,157,281,4.7,7,20745,13778,2115,15893,1927,2925,4852,152,5975249
MASSACHUSETTS,2014,276933,132,2180,6036,18051,125267,24964,92043,8260,5460075,3568321,65.4,3363438,61.6,204883,5.7,50763,67117,1,1,19,0,0,3,857,2,367,179,107,0,0,2,1538,107.3,101.2,123.1,106,913,631,131,3501,1200,979,222,1056,208,394,4.7,7,20057,15246,1398,16644,1388,2025,3413,323,6524045
MICHIGAN,2014,447442,535,6273,8021,27519,202547,44184,137206,21157,7858243,4761391,60.6,4417024,56.2,344367,7.2,36655,43456,4,4,35,3,1,46,3207,126,1028,839,714,13,0,4,6024,93.6,97.4,82,96.4,1183,787,85,4466,2321,1981,336,1441,340,501,4.7,7,23179,14886,2142,17028,2950,3201,6151,634,9885202
MINNESOTA,2014,263259,88,2001,3687,6729,125377,20773,96237,8367,4251040,2972801,69.9,2848788,67,124013,4.2,43629,56730,0,3,17,0,0,4,1258,1,352,462,331,0,0,1,2429,97.5,100.7,95.6,94.8,504,301,54,2615,1164,915,185,806,173,299,4.7,7,13589,7841,1038,8879,2029,2681,4710,321,5371463
MISSISSIPPI,2014,183262,258,1058,2430,4592,87462,24352,58591,4519,2271409,1250171,55,1156341,50.9,93830,7.5,31779,33479,2,2,25,1,0,12,1550,2,465,332,248,0,0,0,2639,86.2,93.9,63.4,93.4,203,129,23,1001,796,652,109,422,88,155,4.7,7,4162,2240,284,2524,712,926,1638,60,1034125
MISSOURI,2014,379330,403,2379,5592,18482,176237,35258,124622,16357,4710631,3046903,64.7,2859966,60.7,186937,6.1,37341,45106,1,7,39,0,0,10,3050,2,729,666,467,0,0,5,4976,89.8,95.3,74.5,92.8,580,370,55,2502,1615,1373,230,862,191,312,4.7,7,20309,13048,1410,14458,2319,3532,5851,550,5843223
MONTANA,2014,53937,37,541,203,2532,25312,3595,19674,2043,806309,512245,63.5,488336,60.6,23909,4.7,37342,42250,0,1,5,0,0,0,220,0,66,127,50,0,0,0,469,94.7,99,83.8,95.5,110,80,10,490,237,180,36,154,36,51,4.7,7,2021,1332,103,1435,207,379,586,72,715466
NEBRASKA,2014,100233,54,862,1043,3316,47479,7950,35074,4455,1430832,1010818,70.6,977617,68.3,33201,3.3,43881,57024,1,1,9,0,0,2,520,3,157,195,214,1,0,1,1104,90.5,95.8,75.8,92.1,141,80,17,860,415,340,61,251,56,98,4.7,7,5152,3230,414,3644,504,1004,1508,165,1870968
NEVADA,2014,167121,170,1357,5954,10564,74538,21927,42426,10185,2191273,1388769,63.4,1278808,58.4,109961,7.9,37391,46138,2,2,26,4,0,75,1802,24,554,415,259,0,0,2,3165,97.5,96.1,95.2,101.1,272,164,36,1246,602,526,91,392,92,132,4.7,7,8973,4985,516,5501,1298,2174,3472,51,2834483
NEW HAMPSHIRE,2014,54684,12,594,537,1459,26041,4162,21022,857,1082720,743320,68.7,711551,65.7,31769,4.3,47365,52158,1,0,0,0,0,1,122,0,58,54,20,0,0,0,256,105.7,100.4,119.4,104.6,176,122,27,720,269,216,49,217,43,82,4.7,7,3401,2363,220,2583,259,559,818,153,1178499
NEW JERSEY,2014,333332,349,1274,10498,11225,154993,31710,111578,11705,6993918,4487038,64.2,4183541,59.8,303497,6.8,50789,59307,0,3,29,0,0,32,2129,5,1023,414,353,0,0,6,3994,113.8,102.5,136.3,113,754,428,96,4171,1563,1302,242,1106,245,440,4.7,7,38778,26976,2692,29668,3543,5567,9110,536,8643347
NEW MEXICO,2014,160213,101,1475,2086,8797,73877,18505,49082,6290,1604673,931752,58.1,869558,54.2,62194,6.7,33866,42724,2,0,17,0,0,7,783,1,217,397,219,0,0,1,1644,94.7,96.9,83.8,99.7,240,150,36,814,437,367,67,309,61,96,4.7,7,4780,2995,346,3341,585,854,1439,72,1417885
NEW YORK,2014,753962,617,5433,24045,45303,339282,50781,272765,15736,15689490,9529418,60.7,8925698,56.9,603720,6.3,47391,68661,0,1,89,0,0,16,3793,14,1756,1137,869,0,0,11,7686,115.7,108.6,135.8,111.6,2172,1309,370,9168,3816,3230,573,2684,565,963,4.7,7,78535,50327,8043,58370,7197,12968,20165,348,18085498
NORTH CAROLINA5,2014,604161,510,2420,8416,21421,285697,79373,192694,13630,7685057,4696781,61.1,4400314,57.3,296467,6.3,35785,45812,5,4,119,1,0,20,5506,8,1913,1686,1474,2,0,5,10743,91.4,96.3,79.8,93.3,888,497,113,3761,2030,1712,361,1429,330,542,4.7,7,34520,21230,2750,23980,4949,5591,10540,522,9939131
NORTH DAKOTA,2014,33170,22,358,173,1407,15605,2707,11384,1514,569245,413544,72.6,402521,70.7,11023,2.7,49696,76652,1,1,12,0,0,3,438,2,155,415,278,0,0,3,1308,91.6,95.2,82.4,91.7,56,32,7,347,176,143,22,89,21,34,4.7,7,2157,1423,170,1593,198,366,564,112,739482
OHIO,2014,682086,464,5042,12753,14771,324528,78845,227668,18015,9094399,5704371,62.7,5373053,59.1,331318,5.8,38105,49291,3,5,96,1,0,27,6204,10,1882,1086,988,24,0,7,10333,89.4,96.2,72.9,91.9,1017,616,130,5114,2933,2454,434,1777,385,643,4.7,7,12771,8692,924,9616,1208,1947,3155,196,4429039
OKLAHOMA,2014,247708,175,1777,3048,10744,115982,29508,75891,10583,2945163,1798260,61.1,1717628,58.3,80632,4.5,41281,48409,1,0,10,1,0,10,765,2,227,302,165,2,0,0,1485,89.5,95.5,71.3,93.3,302,178,29,1503,1035,845,123,540,111,178,4.7,7,10155,6347,550,6897,1396,1862,3258,340,3742354
OREGON,2014,237834,81,1458,2093,5592,114305,17230,87526,9549,3162711,1936869,61.2,1805524,57.1,131345,6.8,37229,45887,0,5,42,1,0,11,1666,15,568,1037,457,2,3,5,3812,98.8,99,101.2,97.4,596,385,65,1875,827,642,145,692,138,252,4.7,7,10312,5721,635,6356,1674,2282,3956,208,3853147
PENNSYLVANIA,2014,534196,614,3827,13534,22189,247016,45720,188256,13040,10202038,6392355,62.7,6017923,59,374432,5.9,42867,52117,1,14,71,0,0,9,4848,6,1676,1384,908,1,0,11,8929,98.1,99.3,88.7,102.6,1149,722,160,6058,2871,2375,395,1731,396,653,4.7,7,29408,22089,2522,24611,1879,2918,4797,996,9491505
RHODE ISLAND,2014,48183,25,361,529,1398,22935,4823,16279,1833,853199,556579,65.2,513753,60.2,42826,7.7,42729,49372,0,1,3,0,0,0,225,11,90,64,42,0,0,0,436,99.8,98.3,101.7,100.4,158,107,18,510,212,177,39,178,35,63,4.7,7,3126,2305,192,2497,265,364,629,49,1055173
SOUTH CAROLINA,2014,358486,311,2068,3997,17676,167217,36721,117594,12902,3756490,2222345,59.2,2078592,55.3,143753,6.5,34059,38055,0,1,33,0,0,2,2330,3,769,494,433,0,0,2,4067,90,96.6,75.7,93.2,414,239,44,1878,1119,938,156,636,150,210,4.7,7,12732,8375,1177,9552,1199,1981,3180,305,4363706
SOUTH DAKOTA,2014,34590,20,470,200,2096,15902,2818,12077,1007,643360,446715,69.4,431382,67.1,15333,3.4,42785,51998,2,1,2,0,0,6,88,0,28,68,57,0,0,0,252,88,95.1,67.3,91.6,55,30,6,374,188,153,25,104,24,33,4.7,7,2913,1560,109,1669,546,698,1244,141,850827
TENNESSEE,2014,440742,371,2531,7265,29681,200447,46642,141206,12599,5107200,3024186,59.2,2825051,55.3,199135,6.6,37458,44592,6,3,96,1,1,24,3044,3,1081,913,656,0,0,11,5839,89.8,96.1,73.7,93.3,501,273,57,2287,1548,1207,233,1005,216,344,4.7,7,26709,15211,1563,16774,4584,5351,9935,454,6544147
TEXAS,2014,1737282,1184,11393,31181,65656,813934,169234,576154,68546,20089863,13039452,64.9,12374172,61.6,665280,5.1,41594,56484,4,6,115,4,1,46,8977,51,2329,2510,1906,6,1,21,15977,96.5,97.3,91.4,98.7,1792,1132,270,9892,4955,4245,723,3229,658,1181,4.7,7,60056,33986,4526,38512,9404,12140,21544,763,19082328
UTAH,2014,175768,67,1454,1312,3513,84711,11518,65895,7298,2098272,1427065,68,1372636,65.4,54429,3.8,34409,46335,0,0,11,1,0,6,590,2,141,242,117,0,0,0,1110,96.8,96.6,92,100.2,196,112,24,708,389,342,97,417,97,159,4.7,7,7018,4545,334,4879,949,1190,2139,136,2935672
VERMONT,2014,19724,10,110,70,432,9551,2034,7273,244,513217,347058,67.6,333383,65,13675,3.9,42944,45619,0,0,0,0,0,0,71,0,30,42,18,0,0,0,161,102.5,98.3,118.3,100.3,100,67,12,326,136,112,27,102,23,40,4.7,7,1489,1090,104,1194,98,197,295,87,621172
VIRGINIA,2014,337780,338,2310,4292,9400,160720,23122,129933,7665,6437958,4241179,65.9,4019470,62.4,221709,5.2,44509,53648,2,5,66,9,0,13,4057,18,1106,1101,741,5,2,4,7129,102.7,99.6,112.3,100.8,813,432,104,3537,1834,1512,239,1124,242,435,4.7,7,23868,16559,2299,18858,1364,3646,5010,282,8324027
WASHINGTON,2014,543548,174,2695,5640,11627,261706,55290,175769,30647,5520451,3491487,63.2,3277540,59.4,213947,6.1,46254,60352,1,3,26,3,0,9,1890,5,563,798,404,1,0,3,3706,104.9,103.7,112.7,102.1,1012,693,108,3080,1369,1130,232,1049,226,385,4.7,7,14566,9334,977,10311,1610,2645,4255,255,7037348
WEST VIRGINIA,2014,80884,74,505,651,4358,37648,8973,26779,1896,1484079,788821,53.2,736472,49.6,52349,6.6,32656,37780,0,1,16,0,0,5,396,1,156,226,132,0,0,0,933,88.2,94.5,64.4,95,158,92,18,594,569,470,79,305,60,105,4.7,7,,,,,,,,,
WISCONSIN,2014,257190,165,1674,5066,9809,120238,21216,89103,9919,4525728,3081543,68.1,2914992,64.4,166551,5.4,39965,49044,1,1,27,0,1,3,2121,12,544,527,443,0,1,3,3684,93.3,96,86.6,93.6,509,279,85,2958,1294,1044,183,807,170,296,4.7,7,18244,11066,1710,12776,2226,3242,5468,401,5741285
WYOMING,2014,24096,16,174,53,899,11477,1689,9185,603,449236,305970,68.1,293302,65.3,12668,4.1,50551,66464,2,0,1,0,0,0,83,0,41,66,31,0,0,0,224,96.8,98.8,93.5,96,46,28,6,261,146,114,19,83,17,31,4.7,7,1956,1181,141,1322,181,453,634,60,538210
ALABAMA,2015,312444,348,2039,4611,15954,144746,35255,99156,10335,3797477,2161481,56.9,2030005,53.5,131476,6.1,34951,39020,1,1,62,2,0,16,3340,20,868,830,617,1,0,9,5767,86.8,96.4,62.8,93.3,352,197,48,1745,1204,961,170,691,148,250,4.8,7.1,13079,8085,716,8801,1469,2809,4278,192,3274209
ALASKA,2015,47004,59,901,761,3671,20806,3511,15249,2046,542058,363270,67,339619,62.7,23651,6.5,52384,72948,1,2,7,0,0,2,480,13,116,148,75,0,0,1,845,105.5,101.7,139.4,95.8,116,77,11,313,177,140,21,94,24,35,4.8,7.1,9,5,0,5,1,3,4,1,
ARIZONA,2015,442226,309,3108,6360,18235,207107,37957,152365,16785,5274051,3163828,60,2972014,56.4,191814,6.1,35612,41031,6,7,66,3,0,20,5075,71,1086,1466,766,2,0,2,8570,96.1,96.8,91.4,98.5,661,434,123,2808,1226,1054,219,925,219,342,4.8,7.1,22653,11442,1365,12807,4614,5232,9846,119,6828065
ARKANSAS,2015,209198,181,1931,2098,11316,96836,22640,68424,5772,2297832,1331377,57.9,1264455,55,66922,5,35520,38233,1,0,10,1,0,6,676,1,212,196,129,0,0,0,1232,87.4,94.9,63.9,93.4,256,161,25,1002,811,666,117,438,98,172,4.8,7.1,9352,5363,497,5860,1419,2073,3492,289,2967437
CALIFORNIA,2015,2216711,1861,12811,52862,99349,1024914,197404,656517,170993,30301485,18828763,62.1,17660651,58.3,1168112,6.2,47841,62403,11,16,277,2,6,89,17488,141,6779,7926,4267,8,0,33,37043,113.8,103.8,147.3,107,4505,2878,670,16354,5678,4706,1035,4997,1115,1731,4.8,7.1,118407,67389,10013,77402,15132,25873,41005,466,33540703
COLORADO,2015,305787,176,3257,3323,10759,144136,23454,104682,16000,4231028,2825111,66.8,2714821,64.2,110290,3.9,45533,56724,4,2,36,0,0,15,2269,22,661,809,431,1,0,10,4260,102.3,99.4,114.7,98.1,957,695,119,2599,1086,862,173,794,182,294,4.8,7.1,17940,10388,1447,11835,2182,3923,6105,236,5443645
CONNECTICUT,2015,137977,117,773,2892,4063,65066,10053,48675,6338,2871142,1888994,65.8,1780915,62,108079,5.7,57288,67717,0,2,6,0,0,5,466,2,183,130,85,0,0,1,880,108.5,103.8,116.8,109,435,270,72,1805,651,524,96,483,97,188,4.8,7.1,9696,7142,776,7918,733,1045,1778,104,3590886
DELAWARE,2015,55630,63,341,1235,3081,25455,4773,19501,1181,745378,465486,62.4,442855,59.4,22631,4.9,42491,69988,0,0,2,0,0,0,807,5,169,125,136,0,0,1,1245,100,98.9,97.5,103,94,58,17,418,203,174,27,133,29,46,4.8,7.1,3303,1994,245,2239,425,639,1064,56,944670
